Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
PUT      ; api/preso/update/{id}                                ; preso.update                     ; App\Http\Controllers\Policiais\PresoController@updateAPI                    ; api                                                  ;
GET|HEAD ; api/proc/dadocampo/{proc}/{id}/{campo}               ; proc.dadocampo                   ; App\Http\Controllers\Subform\ProcController@dadocampo                       ; api                                                  ;
POST     ; api/proc/update/{proc}/{id}/{campo}                  ; proc.update                      ; App\Http\Controllers\Subform\ProcController@update                          ; api                                                  ;
DELETE   ; api/protocolo/destroy/{id}                           ; protocolo.destroy                ; App\Http\Controllers\Policiais\ProtocoloController@destroy                  ; api                                                  ;
GET|HEAD ; api/protocolo/list/{rg}                              ; protocolo.list                   ; App\Http\Controllers\Policiais\ProtocoloController@list                     ; api                                                  ;
POST     ; api/protocolo/store                                  ; protocolo.store                  ; App\Http\Controllers\Policiais\ProtocoloController@store                    ; api                                                  ;
PUT      ; api/protocolo/update/{id}                            ; protocolo.update                 ; App\Http\Controllers\Policiais\ProtocoloController@update                   ; api                                                  ;
DELETE   ; api/punicao/destroy/{id}                             ; punicao.destroy                  ; App\Http\Controllers\Policiais\PunidoController@destroyAPI                  ; api                                                  ;
GET|HEAD ; api/punicao/list/{rg}                                ; punicao.list                     ; App\Http\Controllers\Policiais\PunidoController@list                        ; api                                                  ;
POST     ; api/punicao/store                                    ; punicao.store                    ; App\Http\Controllers\Policiais\PunidoController@storeAPI                    ; api                                                  ;
PUT      ; api/punicao/update/{id}                              ; punicao.update                   ; App\Http\Controllers\Policiais\PunidoController@updateAPI                   ; api                                                  ;
DELETE   ; api/restricao/destroy/{id}                           ; restricao.destroy                ; App\Http\Controllers\Policiais\RestricaoController@destroyAPI               ; api                                                  ;
GET|HEAD ; api/restricao/list/{rg}                              ; restricao.list                   ; App\Http\Controllers\Policiais\RestricaoController@list                     ; api                                                  ;
GET|HEAD ; api/restricao/restricoes/{rg}                        ; restricao.restricoes             ; App\Http\Controllers\Policiais\RestricaoController@restricoes               ; api                                                  ;
POST     ; api/restricao/store                                  ; restricao.store                  ; App\Http\Controllers\Policiais\RestricaoController@storeAPI                 ; api                                                  ;
PUT      ; api/restricao/update/{id}                            ; restricao.update                 ; App\Http\Controllers\Policiais\RestricaoController@updateAPI                ; api                                                  ;
DELETE   ; api/sobrestamento/destroy/{id}                       ; sobrestamento.destroy            ; App\Http\Controllers\Subform\SobrestamentoController@destroy                ; api                                                  ;
POST     ; api/sobrestamento/edit/{id}                          ; sobrestamento.edit               ; App\Http\Controllers\Subform\SobrestamentoController@edit                   ; api                                                  ;
GET|HEAD ; api/sobrestamento/list/{proc}/{id}                   ; sobrestamento.index              ; App\Http\Controllers\Subform\SobrestamentoController@list                   ; api                                                  ;
POST     ; api/sobrestamento/store                              ; sobrestamento.store              ; App\Http\Controllers\Subform\SobrestamentoController@store                  ; api                                                  ;
GET|HEAD ; api/tramitacao/{rg}                                  ; tramitacao                       ; App\Http\Controllers\FDI\FDIListController@tramitacao                       ; api                                                  ;
DELETE   ; api/tramitecoger/destroy/{id}                        ; tramitecoger.destroy             ; App\Http\Controllers\Policiais\TramitacaoController@destroy                 ; api                                                  ;
GET|HEAD ; api/tramitecoger/list/{rg}                           ; tramitecoger.list                ; App\Http\Controllers\Policiais\TramitacaoController@list                    ; api                                                  ;
POST     ; api/tramitecoger/store                               ; tramitecoger.store               ; App\Http\Controllers\Policiais\TramitacaoController@store                   ; api                                                  ;
PUT      ; api/tramitecoger/update/{id}                         ; tramitecoger.update              ; App\Http\Controllers\Policiais\TramitacaoController@update                  ; api                                                  ;
DELETE   ; api/tramiteopm/destroy/{id}                          ; tramiteopm.destroy               ; App\Http\Controllers\Policiais\TramitacaoopmController@destroy              ; api                                                  ;
GET|HEAD ; api/tramiteopm/list/{rg}                             ; tramiteopm.list                  ; App\Http\Controllers\Policiais\TramitacaoopmController@list                 ; api                                                  ;
POST     ; api/tramiteopm/store                                 ; tramiteopm.store                 ; App\Http\Controllers\Policiais\TramitacaoopmController@store                ; api                                                  ;
PUT      ; api/tramiteopm/update/{id}                           ; tramiteopm.update                ; App\Http\Controllers\Policiais\TramitacaoopmController@update               ; api                                                  ;
DELETE   ; api/vitima/destroy/{id}                              ; vitima.destroy                   ; App\Http\Controllers\Subform\VitimaController@destroy                       ; api                                                  ;
POST     ; api/vitima/edit/{id}                                 ; vitima.edit                      ; App\Http\Controllers\Subform\VitimaController@edit                          ; api                                                  ;
GET|HEAD ; api/vitima/list/{proc}/{id}                          ; vitima.index                     ; App\Http\Controllers\Subform\VitimaController@list                          ; api                                                  ;
POST     ; api/vitima/store                                     ; vitima.store                     ; App\Http\Controllers\Subform\VitimaController@store                         ; api                                                  ;
POST     ; apresentacao                                         ; apresentacao.search              ; App\Http\Controllers\Apresentacao\ApresentacaoController@search             ; web,permission:listar-apresentacao                   ;
GET|HEAD ; apresentacao/apagados/{ano?}/{cdopm?}                ; apresentacao.apagados            ; App\Http\Controllers\Apresentacao\ApresentacaoController@apagados           ; web,role:admin                                       ;
GET|HEAD ; apresentacao/buscar                                  ; apresentacao.buscar              ; App\Http\Controllers\Apresentacao\ApresentacaoController@buscar             ; web,permission:listar-apresentacao                   ;
GET|HEAD ; apresentacao/criar                                   ; apresentacao.create              ; App\Http\Controllers\Apresentacao\ApresentacaoController@create             ; web,permission:criar-apresentacao                    ;
GET|HEAD ; apresentacao/destroy/{id}                            ; apresentacao.destroy             ; App\Http\Controllers\Apresentacao\ApresentacaoController@destroy            ; web,permission:apagar-apresentacao                   ;
GET|HEAD ; apresentacao/editar/{ref}/{ano?}                     ; apresentacao.edit                ; App\Http\Controllers\Apresentacao\ApresentacaoController@edit               ; web,permission:editar-apresentacao                   ;
GET|HEAD ; apresentacao/forceDelete/{id}                        ; apresentacao.forceDelete         ; App\Http\Controllers\Proc\AdlController@forceDelete                         ; web,role:admin                                       ;
GET|HEAD ; apresentacao/list/{ano?}/{cdopm?}                    ; apresentacao.index               ; App\Http\Controllers\Apresentacao\ApresentacaoController@index              ; web,permission:listar-apresentacao                   ;
GET|HEAD ; apresentacao/memorando/{id}                          ; apresentacao.memorando           ; App\Http\Controllers\Apresentacao\ApresentacaoController@memorando          ; web                                                  ;
GET|HEAD ; apresentacao/restore/{id}                            ; apresentacao.restore             ; App\Http\Controllers\Proc\AdlController@restore                             ; web,role:admin                                       ;
GET|HEAD ; arquivamento/criar                                   ; arquivamento.create              ; App\Http\Controllers\Arquivamento\ArquivamentoController@create             ; web,permission:criar-aquivamento                     ;
GET|HEAD ; arquivamento/prateleira/{numero}                     ; arquivamento.prateleira          ; App\Http\Controllers\Arquivamento\ArquivamentoController@prateleira         ; web,permission:ver-aquivamento                       ;
POST     ; arquivamento/salvar                                  ; arquivamento.save                ; App\Http\Controllers\Arquivamento\ArquivamentoController@save               ; web,permission:criar-aquivamento                     ;
GET|HEAD ; arquivamento/{local}                                 ; arquivamento.local               ; App\Http\Controllers\Arquivamento\ArquivamentoController@local              ; web,permission:ver-aquivamento                       ;
GET|HEAD ; autoridadeom/comando                                 ; autoridadeom.comando             ; App\Http\Controllers\Apresentacao\DadosOmController@comando                 ; web,permission:                                      ;
